instrument,filename,grb_name,grb_time_utc,ra,dec,lag_ms,lag_error,lag_significance,lag_type,lag_class,t90_s,duration_class,lag_observed_ms,lag_model_ms,torus_radius_units,n_diffusive_windings,transport_product_ms
Swift/BAT,sw00060054000bevshsp_uf.evt.gz,,2004-11-27T11:08:17,7.33736862776623,-59.9701887811539,-101311.99997087863,9.595609539729937,10558.161996004896,negative,significant_negative,,unknown,101311.99997087863,101311.9999708786,20.600357111111823,3.278648663691724,101311.99997087863
Swift/BAT,sw00060062000bevshsp_uf.evt.gz,,2004-11-28T09:37:37.000499,87.6167881174172,-32.2893261556581,9919.99998689543,7.73426532276837,1282.6040448460728,positive,significant_positive,,unknown,9919.99998689543,9919.999986895431,6.446146040588028,1.0259360062518341,9919.99998689543
Swift/BAT,sw00060070000bevshsp_uf.evt.gz,,2004-11-29T08:03:22,323.828026427095,27.4983040441912,-45884.307864226685,19.41664284490177,2363.143218461916,negative,significant_negative,,unknown,45884.307864226685,45884.30786422669,13.863612059455354,2.206462388370731,45884.307864226685
Swift/BAT,sw00060078000bevshsp_uf.evt.gz,,2004-11-30T09:48:02,7.0883661469159,-59.9145742329356,-9742.170255277584,29.921710818015505,325.58867755021345,negative,significant_negative,,unknown,9742.170255277584,9742.170255277584,6.388106710025129,1.0166987598990043,9742.170255277584
Swift/BAT,sw00104039000bevshsp_uf.evt.gz,,2005-01-29T17:04:13.695999,256.588498803374,-43.0129976612919,-16505.032617282683,24.885129263757737,663.2488199014631,negative,significant_negative,,unknown,16505.032617282683,16505.032617282686,8.314813224417827,1.3233436255519582,16505.032617282683
Swift/BAT,sw00105362000bevshsp_uf.evt.gz,,2005-02-08T18:13:36.64,135.537122147072,-40.5633487853873,19268.22310717133,19.412969436063488,992.5438336793924,positive,significant_positive,,unknown,19268.22310717133,19268.223107171325,8.983904730959587,1.4298328461988823,19268.22310717133
Swift/BAT,sw00105363000bevshsp_uf.evt.gz,,2005-02-08T19:50:45.247999,135.558533789938,-40.5359117304603,-128122.05363950985,55.33408983050933,2315.427145037592,negative,significant_negative,,unknown,128122.05363950985,128122.05363950988,23.16627728622567,3.6870275431403146,128122.05363950985
Swift/BAT,sw00106276000bevshsp_uf.evt.gz,,2005-02-17T14:57:13.983999,256.576671503789,-43.0358919108633,-121212.51493386348,35.532791720502914,3411.285999909829,negative,significant_negative,,unknown,121212.51493386348,121212.51493386348,22.532949102425352,3.5862302320890813,121212.51493386348
Swift/BAT,sw00107523000bevshsp_uf.evt.gz,,2005-03-05T22:23:20.895999,84.8613357940223,3.63847157427012,101430.40120413722,37.20444446923764,2726.297963889894,positive,significant_positive,,unknown,101430.40120413722,101430.40120413722,20.612391201203312,3.2805639486153972,101430.40120413722
Swift/BAT,sw00107873000bevshsp_uf.evt.gz,,2005-03-09T10:43:20.959999,182.621936600974,77.5908875907898,177149.8584559407,79.39915141584498,2231.130374783684,positive,significant_positive,,unknown,177149.8584559407,177149.8584559407,27.24047708612204,4.335456580437833,177149.8584559407
Swift/BAT,sw00112189000bevshsp_uf.evt.gz,,2005-03-23T15:18:25.088,135.646788584126,-40.581787758314,29622.8116896018,22.062253020580123,1342.692047905036,positive,significant_positive,,unknown,29622.8116896018,29622.811689601796,11.13928828263439,1.7728727927068928,29622.8116896018
Swift/BAT,sw00113120000bevshsp_uf.evt.gz,GRB050401,2005-04-01T14:20:15.326620,247.8689,2.187158,-27905.84235195139,113.3218438388938,246.2529853610948,negative,significant_negative,32.092,long,27905.84235195139,27905.842351951385,10.811647381420057,1.7207271237195485,27905.84235195139
Swift/BAT,sw00113225000bevshsp_uf.evt.gz,,2005-04-02T06:09:54.047999,136.450075815848,16.5917585763815,10492.888615933942,19.58001278641578,535.897945031665,positive,significant_positive,,unknown,10492.888615933942,10492.888615933942,6.6296688495232345,1.0551445684639817,10492.888615933942
Swift/BAT,sw00115135000bevshsp_uf.evt.gz,GRB050421,2005-04-21T04:11:51.617220,307.2531,73.65281,-1469.3290233012822,30.2385297779386,48.59128516139941,negative,significant_negative,8.408,long,1469.3290233012822,1469.3290233012822,2.4808690050892985,0.3948425653234343,1469.3290233012822
Swift/BAT,sw00131177000bevshsp_uf.evt.gz,,2005-06-01T10:07:46.879999,134.906947573277,-40.9701915043352,-50752.98189857391,21.95041712473549,2312.164803528101,negative,significant_negative,,unknown,50752.98189857391,50752.98189857392,14.580589612236105,2.320572909981718,50752.98189857391
Swift/BAT,sw00147029000bevshsp_uf.evt.gz,,2005-07-21T11:14:30.4,262.943847888148,-33.7749882945236,7237.229902303451,30.17550568947368,239.83789954605675,positive,significant_positive,,unknown,7237.229902303451,7237.22990230345,5.505927508109407,0.8762955792212538,7237.229902303451
Swift/BAT,sw00147918000bevshsp_uf.evt.gz,,2005-07-27T06:31:44,238.256113857521,-21.7678288860753,-222784.07714390635,52.262044899170746,4262.827403208658,negative,significant_negative,,unknown,222784.07714390635,222784.07714390635,30.54825297988038,4.861905464569684,222784.07714390635
Swift/BAT,sw00148225000bevshsp_uf.evt.gz,GRB050730,2005-07-30T19:58:23.199020,212.065218990972,-3.76180048165143,4678.674468601373,57.66979421517043,81.12868326085713,positive,significant_positive,154.6,long,4678.674468601373,4678.674468601371,4.426961236046866,0.7045727635930656,4678.674468601373
Swift/BAT,sw00155535000bevshsp_uf.evt.gz,,2005-09-17T13:18:59.52,121.938047801988,-21.2422231183282,5628.721729117399,19.37794955417939,290.4704501051511,positive,significant_positive,,unknown,5628.721729117399,5628.721729117399,4.855670339345051,0.7728039365314657,5628.721729117399
